sku,nombre_producto,categoria_subcategoria,precio_lista,peso,proveedor,descripcion,stock_disponible,fecha_alta,activo
SKU-02594,Ropa Mujer Another 482,Moda > Ropa Mujer,"$ 19,744.57",25.79 kg,Rocha S.C.,Sort identify political budget air interview American along lawyer day Mrs population kid room mention cultural.,184.0,2022-06-23,0
sku_02595,Calzado Action 954,Moda > Calzado,"$ 3,470.43",21.74 kg,Zapata-Serna S. R.L. de C.V.,Effect success goal defense upon forget expect question test there.,482.0,2022-08-11,1
sku_02596,Infantil Pressure 491,Moda > Infantil,"$ 17,974.46",25.05 kg,Acuña-Almanza,Look method pass country term never standard each production.,209.0,2019-09-08,1
02597,Smartphones In 371,Electrónica > Smartphones,"$ 17,445.07",28.25 kg,"Guevara, Ontiveros y Rosario",Early way into season for person stock way yes thousand nearly.,54.0,2021-10-17,1
sku_02598,Audio Reason 145,Electrónica > Audio,"$ 2,549.02",2.48 kg,Club Rosado-Fernández,Too you onto agency yet will almost phone he above require garden interest person approach.,494.0,2020-08-22,1
SKU-02599,Ropa Mujer Six 511,Moda > Ropa Mujer,"$ 14,491.63",17.04 kg,del Valle y Sanches y Asociados,City street power together parent our performance high despite where state close.,483.0,2021-06-28,1
sku_02600,Jardín Else 748,Hogar > Jardín,"$ 8,933.69",25.52 kg,"Vásquez, Llamas y de León",Sure human enter about each key poor bring good source success sound.,76.0,2023-05-17,0
02601,Audio Result 398,Electrónica > Audio,"$ 12,424.08",22.19 kg,Santana-Saavedra S. R.L. de C.V.,Decade clear brother term physical ground behavior with for against campaign bad water cause.,263.0,2020-01-24,1
SKU-02602,Ropa Hombre American 489,Moda > Ropa Hombre,"$ 13,486.94",27.69 kg,"Laboratorios Hernandes, Orellana y Serna",Value call training feeling themselves site allow down whose travel get most remember.,128.0,2023-07-14,1
02603,Accesorios Moda Director 974,Moda > Accesorios Moda,"$ 19,674.58",10.15 kg,"Proyectos Mascareñas, Aparicio y Montalvo",Grow series magazine language daughter specific wait character store forget quite door stop hear be.,233.0,2022-12-04,1
SKU-02604,Cocina Close 493,Hogar > Cocina,"$ 21,547.90",8.81 kg,Proyectos Santacruz-Fonseca,,234.0,2020-07-20,0
SKU-02605,Infantil Mention 334,Moda > Infantil,"$ 14,889.41",3.86 kg,Proyectos Caldera y Centeno,Teacher could middle catch use system only test better.,367.0,2019-11-23,1
PROD-02606,Audio Gun 926,Electrónica > Audio,"$ 999,999.00",29.92 kg,"Rivero, Campos y Aponte",That half level industry month moment rich from full.,,2022-02-15,1
02607,Laptops Analysis 298,Electrónica > Laptops,"$ 10,540.85",19.9 kg,Soria y Dueñas S.A.,Approach message offer road system per suddenly energy maybe hold.,318.0,2021-06-13,1
SKU-02608,Smartphones Republican 121,Electrónica > Smartphones,"$ 15,954.35",19.14 kg,Casares y Pedroza A.C.,Address remember family never one boy require foot air occur pressure explain.,16.0,2022-09-19,0
sku_02609,Audio Seek 302,Electrónica > Audio,$ 555.07,15.1 kg,Grupo Godínez y Orosco,American true ago usually include us get good recently similar decision.,395.0,2021-03-30,1
sku_02610,Laptops Traditional 856,Electrónica > Laptops,$ 145.65,22.02 kg,Grupo Ulibarri-Olvera,Meet back artist series care check just form language student physical value.,500.0,2019-06-28,1
sku_02611,Ropa Hombre Expert 972,Moda > Ropa Hombre,"$ 4,641.24",7.58 kg,Toledo y Parra e Hijos,Off conference exist remain call method chance eye only specific lot like.,387.0,2024-05-24,0
P-02612,Ropa Hombre American 801,Moda > Ropa Hombre,"$ 13,526.73",26.66 kg,Industrias Fajardo-Otero,Management represent them throughout outside exist story.,451.0,2022-10-08,1
02613,Cocina Outside 590,Hogar > Cocina,"$ 9,045.75",29.93 kg,"Grupo Soto, Fonseca y Jimínez",Left enter rest throughout job car question game instead suddenly brother form only.,116.0,2022-05-02,1
sku_02614,Cocina Gun 191,Hogar > Cocina,"$ 7,093.48",25.51 kg,Serrato-Bernal A.C.,Us since issue enjoy safe again feeling.,451.0,2019-08-01,1
02615,Televisores Stay 200,Electrónica > Televisores,"$ 17,091.57",15.83 kg,"Irizarry, Saucedo y Anaya",,374.0,2021-11-05,1
02616,Decoración Clear 964,Hogar > Decoración,"$ 1,398.74",29.15 kg,"Laboratorios Portillo, Magaña y de la O",Make quickly however culture artist executive happy both physical.,172.0,2020-10-28,1
P-02617,Calzado Fact 647,Moda > Calzado,"$ 6,778.99",14.7 kg,Blanco-Ulibarri e Hijos,Market up standard argue executive hair new so.,36.0,2023-12-02,1
02618,Infantil Head 191,Moda > Infantil,"$ 17,805.11",28.99 kg,Moreno-Fernández y Asociados,Performance from store type soon when interest next wide Democrat health wide.,367.0,2019-03-19,1
SKU-02619,Laptops Really 259,Electrónica > Laptops,"$ 12,435.71",22.14 kg,Industrias Rosales-Rivas,Record team increase meeting night site green account write season before me service anything.,256.0,2020-01-17,1
sku_02620,Limpieza Deep 616,Hogar > Limpieza,"$ 23,234.35",26.8 kg,Industrias López y Zambrano,,244.0,2023-01-04,1
PROD-02621,Calzado Base 920,Moda > Calzado,"$ 10,376.65",2.79 kg,Corporacin Rendón y Vera,Become treat quite next she behavior responsibility lead discuss hospital himself animal visit race.,437.0,2019-02-22,1
P-02622,Audio Eight 355,Electrónica > Audio,"$ 1,292.78",13.81 kg,"Club Rodríguez, Paredes y Porras",Property inside model western third work national position.,337.0,2023-12-26,0
P-02623,Jardín Ago 134,Hogar > Jardín,"$ 21,692.29",3.21 kg,Burgos y Asociados,Almost head several culture bad blue subject community.,348.0,2020-02-11,0
P-02624,Cocina Color 721,Hogar > Cocina,"$ 15,813.68",8.5 kg,Carrión-de Anda,,440.0,2023-04-08,0
sku_02625,Jardín Into 323,Hogar > Jardín,"$ 2,886.94",19.67 kg,Alba-Villalpando y Asociados,,245.0,2021-04-08,1
PROD-02626,Decoración Feel 372,Hogar > Decoración,"$ 11,710.13",20.53 kg,Granados-Matos e Hijos,Almost remain rather safe remain wait item.,466.0,2019-09-19,1
PROD-02627,Audio Money 546,Electrónica > Audio,"$ 1,642.04",17.95 kg,Soria S.A. de C.V.,Amount travel program threat myself player million want yes artist mother deep father weight last between.,236.0,2022-04-23,1
SKU-02628,Televisores Something 300,Electrónica > Televisores,$ 243.83,4.52 kg,Rodrígez S.A.,,51.0,2023-07-08,1
SKU-02629,Laptops Itself 248,Electrónica > Laptops,"$ 15,203.24",14.26 kg,Grupo Ochoa y Peña,,392.0,2023-12-08,1
PROD-02630,Accesorios Spring 167,Electrónica > Accesorios,"$ 16,094.64",4.06 kg,"Despacho Quezada, Rocha y Centeno",It eat think thing source school myself federal record control control she itself lose.,339.0,2019-07-09,1
P-02631,Cocina Church 705,Hogar > Cocina,"$ 19,504.21",17.64 kg,Valenzuela y del Valle A.C.,Film summer election possible create range coach manager star image kind size force.,263.0,2020-03-01,1
P-02632,Laptops Better 535,Electrónica > Laptops,"$ 20,123.65",20.46 kg,"Corporacin Sotelo, Mesa y Casárez",Listen station few participant collection hold knowledge because usually either spring describe soldier pattern friend.,418.0,2020-09-13,1
sku_02633,Audio Best 176,Electrónica > Audio,"$ 24,577.81",6.67 kg,Grupo Valadez y Longoria,Form join financial century past act check her soldier serve suggest voice.,,2024-03-24,1
SKU-02634,Televisores Support 150,Electrónica > Televisores,"$ 14,453.09",18.8 kg,Duarte-Zarate,Environmental western home industry you mind when business worry consider cause sit.,415.0,2019-02-02,1
02635,Decoración Child 742,Hogar > Decoración,"$ 7,768.32",20.82 kg,Laboratorios Alonso y Lovato,Professor practice window population entire nice case tough difficult debate.,426.0,2019-03-14,1
SKU-02636,Ropa Mujer Mention 208,Moda > Ropa Mujer,"$ 18,715.50",8.64 kg,"Lugo, Fierro y Gómez",Similar apply hit Republican data including turn religious writer white many each up skin foreign.,,2019-07-06,1
sku_02637,Televisores Image 924,Electrónica > Televisores,"$ 11,686.85",10.95 kg,"Laboratorios Velázquez, Carvajal y Pelayo",Put last human standard trouble wonder stay leave history quality approach good.,190.0,2020-10-12,1
02638,Laptops Audience 981,Electrónica > Laptops,,26.43 kg,Proyectos Rosales y Bermúdez,Trouble PM look interesting police wait enough why trip.,342.0,2024-01-25,0
PROD-02639,Accesorios Moda Company 911,Moda > Accesorios Moda,,7.43 kg,Mayorga y Rico S. R.L. de C.V.,Already in effort its cover edge education amount factor because rate issue economic resource.,138.0,2019-06-26,0
SKU-02640,Infantil Tree 699,Moda > Infantil,"$ 13,984.64",19.41 kg,"Laboratorios Juárez, Valles y Valadez",Case economic bar off occur month provide price source impact physical dog.,496.0,2024-03-28,0
SKU-02641,Televisores Free 367,Electrónica > Televisores,"$ 999,999.00",13.89 kg,Ozuna y Mata S.C.,Floor myself personal writer treatment strategy remember may upon together improve yet control majority opportunity.,174.0,2019-01-19,1
sku_02642,Jardín Sense 810,Hogar > Jardín,"$ 18,758.87",4.39 kg,Cabrera y Mena S.A. de C.V.,Single can daughter benefit I turn season.,224.0,2019-12-22,1
sku_02643,Muebles Mouth 424,Hogar > Muebles,"$ 13,858.92",3.3 kg,Corporacin Franco y Otero,Wife say make although character owner more glass too pressure street far story image peace again.,491.0,2023-03-28,0
sku_02644,Laptops Throw 115,Electrónica > Laptops,"$ 23,532.80",9.32 kg,Arriaga y Flórez S. R.L. de C.V.,List reflect goal per believe both face first woman.,203.0,2019-10-11,1
PROD-02645,Decoración Term 502,Hogar > Decoración,$ 77.76,13.35 kg,Laboratorios Jaimes-Salinas,And walk according low rule score hand determine into action.,402.0,2021-11-27,1
02646,Cocina Society 212,Hogar > Cocina,"$ 6,777.00",20.48 kg,Sevilla y Luevano S. R.L. de C.V.,,45.0,2020-01-16,1
P-02647,Audio Claim 878,Electrónica > Audio,"$ 19,572.10",20.03 kg,"Durán, de la Torre y Ochoa",Board near lay fund very statement book your dream.,30.0,2023-07-12,0
02648,Laptops They 467,Electrónica > Laptops,"$ 14,849.82",27.87 kg,Vázquez-Barreto,Analysis early participant kitchen eat beautiful including in huge.,83.0,2022-11-20,1
02649,Accesorios Animal 175,Electrónica > Accesorios,"$ 2,896.89",15.02 kg,Grupo Cintrón-Maya,Develop I toward whose fund against several economy for.,146.0,2020-05-15,1
P-02650,Muebles Ground 421,Hogar > Muebles,"$ 23,773.55",16.01 kg,Club Palomino-Castañeda,Inside vote thus purpose if through section century right.,398.0,2020-09-10,1
sku_02651,Audio Budget 201,Electrónica > Audio,"$ 23,596.31",5.31 kg,"Vázquez, Gastélum y Tamez",Account whether tough suddenly true type near.,481.0,2023-11-27,0
P-02652,Infantil Analysis 459,Moda > Infantil,"$ 20,257.70",13.09 kg,"Colunga, Rosario y Rocha",Often five whatever significant will bar mission support law read dark Congress drive.,218.0,2022-01-22,1
P-02653,Jardín Successful 974,Hogar > Jardín,"$ 11,979.95",23.24 kg,Corporacin Segovia-Garza,Off director recent discuss picture have morning safe red why.,250.0,2019-03-20,1
02654,Limpieza Truth 706,Hogar > Limpieza,,29.18 kg,Meléndez A.C.,Former stage to ok could team relationship dinner challenge computer raise include month.,229.0,2019-12-13,1
sku_02655,Smartphones Good 888,Electrónica > Smartphones,"$ 4,785.03",6.16 kg,Ponce y Chavarría A.C.,Up former book agency result fight task present ask report name allow firm anyone determine expect.,165.0,2023-03-15,1
sku_02656,Accesorios Moda Stage 258,Moda > Accesorios Moda,"$ 11,215.39",15.77 kg,Industrias Quintanilla-Rodríquez,Rich difference indicate shake according lot sign record cover red apply officer.,448.0,2019-12-17,0
02657,Jardín Now 351,Hogar > Jardín,"$ 19,351.22",28.1 kg,"Proyectos Alemán, Porras y Cano",Build side enjoy late large policy chair skill action whom especially.,203.0,2024-05-12,1
SKU-02658,Calzado Ask 408,Moda > Calzado,"$ 11,305.86",16.75 kg,Fernández-Mojica,Standard game record performance necessary quite source television.,337.0,2021-09-14,1
sku_02659,Laptops Wife 409,Electrónica > Laptops,"$ 20,084.42",21.86 kg,Montes y Venegas S.A. de C.V.,Standard seat begin politics suggest hear more law painting heart great behind weight door ready none.,156.0,2023-10-13,1
P-02660,Muebles Allow 269,Hogar > Muebles,"$ 9,629.58",17.68 kg,Arias e Hijos,Wonder rate return throughout operation similar paper nature.,306.0,2020-10-17,1
P-02661,Calzado End 908,Moda > Calzado,"$ 12,268.50",4.74 kg,"Montalvo, Valladares y Madrigal",Maintain deep threat explain matter mind require election.,,2022-01-16,1
PROD-02662,Smartphones First 317,Electrónica > Smartphones,$ 501.60,16.79 kg,Club Rodarte-Arias,History region soon fast yeah great chance.,275.0,2020-09-02,1
sku_02663,Ropa Hombre Sister 885,Moda > Ropa Hombre,"$ 20,242.30",2.62 kg,Club Olivera-Díaz,Number use happy again marriage wait him happy office hot thank light.,221.0,2023-07-13,0
02664,Smartphones Up 787,Electrónica > Smartphones,"$ 14,627.07",12.4 kg,Padilla-Echeverría,International present return late ok standard improve set within store price skin.,309.0,2023-09-07,1
sku_02665,Televisores Tell 325,Electrónica > Televisores,"$ 13,417.71",22.18 kg,Despacho Mayorga-Castro,,345.0,2020-06-09,1
sku_02666,Cocina Attention 848,Hogar > Cocina,"$ 24,263.35",6.8 kg,"Montalvo, Tirado y Rojas",Night mention tend science ago paper vote detail stuff.,168.0,2019-02-23,1
SKU-02667,Ropa Mujer People 938,Moda > Ropa Mujer,"$ 21,522.00",9.03 kg,Laboratorios Esparza-Mercado,Operation such about new president any their yes.,407.0,2021-07-08,1
02668,Televisores Money 632,Electrónica > Televisores,"$ 9,170.30",25.54 kg,Industrias Monroy-Sierra,Project month general such property real left statement surface size be provide less.,87.0,2023-08-20,1
sku_02669,Accesorios Moda Save 190,Moda > Accesorios Moda,"$ 13,607.24",0.94 kg,Club Polanco y Luna,Media thing beyond none interview prevent same training fill agreement make dark fish.,139.0,2021-08-20,0
PROD-02670,Calzado Phone 234,Moda > Calzado,"$ 2,600.19",7.28 kg,"Molina, Almonte y Mayorga",Hospital sometimes rate wrong stage chance government staff such wife happy drive.,,2021-12-19,0
sku_02671,Jardín Within 621,Hogar > Jardín,"$ 1,567.62",10.51 kg,Carrasco y Mejía S.A. de C.V.,Value production someone room site particular goal any ground interesting section these reveal indeed list.,41.0,2019-04-05,1
sku_02672,Calzado Him 830,Moda > Calzado,"$ 8,421.37",24.63 kg,Corporacin Ramón y Urrutia,,307.0,2020-11-16,1
SKU-02673,Laptops Number 449,Electrónica > Laptops,"$ 22,042.94",17.32 kg,Lucio-Montemayor,Necessary room majority market meeting want example later draw.,20.0,2020-12-13,1
02674,Calzado Treat 833,Moda > Calzado,"$ 14,852.41",28.08 kg,Industrias Solís y Parra,Up project war pressure fill Mr health page opportunity seem concern certain already bag customer recent.,183.0,2021-10-22,1
SKU-02675,Infantil Wait 469,Moda > Infantil,"$ 16,818.96",12.22 kg,Berríos-Ortiz,,473.0,2020-03-07,1
P-02676,Decoración Environmental 921,Hogar > Decoración,"$ 7,119.55",22.11 kg,Corporacin Amador y Jáquez,Policy but high make officer notice while offer decision dream also phone early.,295.0,2023-08-07,0
PROD-02677,Audio One 208,Electrónica > Audio,"$ 22,758.33",23.04 kg,Botello y Asociados,News always political morning middle scene situation hear dog successful concern ready apply our.,44.0,2021-02-14,0
sku_02678,Cocina Factor 887,Hogar > Cocina,"$ 5,583.23",3.33 kg,"Ceja, Llamas y Coronado",What effect mean box next idea take operation face happy later number close camera often.,132.0,2019-02-07,1
P-02679,Laptops Beautiful 770,Electrónica > Laptops,"$ 11,702.16",3.93 kg,Zepeda S. R.L. de C.V.,Population member friend usually soldier nothing everybody return such health serve possible first.,409.0,2023-07-31,1
sku_02680,Audio Meet 869,Electrónica > Audio,"$ 22,814.64",15.17 kg,"Proyectos Herrera, Carreón y Bétancourt",Right sit none learn data trip protect deep political deal easy understand baby ready.,450.0,2020-11-06,1
PROD-02681,Audio Miss 331,Electrónica > Audio,"$ 8,281.50",23.72 kg,Proyectos Hidalgo y Pulido,All onto tonight least anyone even alone skin herself reduce health poor.,172.0,2023-07-05,1
PROD-02682,Smartphones Key 397,Electrónica > Smartphones,"$ 2,937.96",16.38 kg,Garza y Alfaro e Hijos,Think either current beyond movie three social with southern.,65.0,2024-04-17,0
SKU-02683,Laptops Not 945,Electrónica > Laptops,"$ 14,235.35",7.27 kg,Industrias Longoria y Garay,Foot hundred service direction two poor evening soon art response administration certainly.,174.0,2022-01-14,1
SKU-02684,Accesorios Message 966,Electrónica > Accesorios,"$ 5,259.33",14.36 kg,Gurule-Tijerina S.A. de C.V.,,187.0,2020-08-29,1
sku_02685,Cocina State 438,Hogar > Cocina,"$ 8,012.89",17.16 kg,Industrias Almonte-Gracia,Listen performance give success change TV ability surface son measure theory past particularly visit political degree.,316.0,2019-07-09,1
sku_02686,Televisores Clearly 717,Electrónica > Televisores,"$ 2,879.65",25.14 kg,Ayala-Montemayor,Only hard wife fly more someone thought back become respond also country leader how poor that.,461.0,2022-10-14,0
02687,Accesorios Moda Third 369,Moda > Accesorios Moda,"$ 4,910.95",12.42 kg,Apodaca-Curiel,Experience usually reach his few wait training exist writer about concern but discover.,110.0,2021-06-11,1
P-02688,Audio Security 537,Electrónica > Audio,,13.27 kg,Camarillo e Hijos,Soldier performance receive century economic expect majority team seek early far.,,2019-12-16,1
PROD-02689,Laptops Fact 987,Electrónica > Laptops,"$ 18,254.65",9.93 kg,"Club Loera, Pulido y Nava",Him artist weight person future unit line anyone product individual someone economic number.,486.0,2019-09-03,0
SKU-02690,Jardín Tonight 356,Hogar > Jardín,"$ 15,223.16",19.24 kg,Proyectos Porras-Manzanares,Anything official similar board couple card employee several.,143.0,2023-12-07,1
02691,Televisores Bed 570,Electrónica > Televisores,"$ 4,915.72",12.44 kg,Coronado y Caldera S.A. de C.V.,A color fact blood full attack method town front.,433.0,2019-11-27,1
02692,Smartphones Environment 521,Electrónica > Smartphones,"$ 7,297.45",1.58 kg,Pantoja y Asociados,More west from business despite culture hot room.,164.0,2021-09-23,1
02693,Accesorios Actually 504,Electrónica > Accesorios,"$ 1,734.03",17.0 kg,Cisneros-Luna A.C.,Military wonder others TV forget issue service floor bring.,291.0,2023-01-13,1
SKU-02694,Ropa Mujer Radio 252,Moda > Ropa Mujer,"$ 20,034.31",29.18 kg,"Pabón, Almaraz y Mata",Between health list color arrive forget scene fight condition beat once break rate practice civil old.,453.0,2023-04-17,0
SKU-02695,Accesorios Moda Political 167,Moda > Accesorios Moda,"$ 11,352.18",6.97 kg,Dávila y Madera S.C.,Mean face expect seem describe message gun reflect top ok oil.,31.0,2019-08-02,1
PROD-02696,Ropa Mujer Feel 376,Moda > Ropa Mujer,"$ 20,060.97",7.22 kg,Guajardo A.C.,Include child town stock star air late three charge.,47.0,2021-01-13,0
02697,Decoración President 754,Hogar > Decoración,"$ 3,599.23",28.99 kg,"Hurtado, Sarabia y Lara",Position reduce job woman message minute idea person myself real chair cost son by.,303.0,2023-06-17,1
sku_02698,Muebles Recently 393,Hogar > Muebles,"$ 4,921.75",29.34 kg,Gómez y Mata S. R.L. de C.V.,Lead property we weight tree fine event police buy training finish somebody rest.,203.0,2022-02-01,1
PROD-02699,Accesorios Moda Opportunity 190,Moda > Accesorios Moda,"$ 10,972.26",10.69 kg,de la Rosa-Arevalo,Throughout better article fire case bill I.,359.0,2022-03-13,1
sku_02700,Ropa Mujer Understand 967,Moda > Ropa Mujer,"$ 13,130.09",20.44 kg,Salazar e Hijos,,174.0,2023-10-12,1
sku_02701,Audio None 524,Electrónica > Audio,"$ 17,824.03",16.69 kg,Munguía-Otero S. R.L. de C.V.,Thought dog consumer economy resource actually by thing theory.,257.0,2023-07-24,1
SKU-02702,Accesorios Moda Will 908,Moda > Accesorios Moda,"$ 7,081.08",3.14 kg,"Despacho Malave, Nazario y Montoya",House wall live bank drug sister act cause east strong serious.,407.0,2020-01-22,0
P-02703,Jardín Environment 330,Hogar > Jardín,"$ 24,089.00",22.63 kg,Montenegro-Camacho e Hijos,Drop interest son spend listen ahead significant people rule.,457.0,2019-12-29,1
sku_02704,Calzado Reach 361,Moda > Calzado,$ 637.83,16.51 kg,Castellanos-Galarza,Seem management relationship tonight remain travel few will red time material tell avoid large full soldier.,131.0,2023-11-17,1
SKU-02705,Laptops Threat 612,Electrónica > Laptops,"$ 24,413.08",5.94 kg,Juárez y Asociados,,191.0,2021-02-19,1
SKU-02706,Decoración Rise 519,Hogar > Decoración,"$ 21,269.17",17.52 kg,Despacho Castillo y Carrero,After strategy recognize think have authority reach.,440.0,2020-12-12,1
02707,Jardín Teach 918,Hogar > Jardín,"$ 19,764.53",12.4 kg,Proyectos Ramos y Tello,Research manage true exist left window general consumer get those join specific writer or debate concern.,277.0,2021-09-07,0
P-02708,Ropa Hombre Three 529,Moda > Ropa Hombre,"$ 13,374.09",10.76 kg,"Club Treviño, Longoria y Badillo",Sell well remember doctor nearly record detail price source college until office traditional.,128.0,2023-11-27,0
02709,Infantil Raise 733,Moda > Infantil,"$ 19,806.34",22.81 kg,Vélez-Herrera,Wife phone since least prepare might long worker truth ever.,162.0,2022-09-17,1
sku_02710,Infantil Rather 992,Moda > Infantil,"$ 5,747.80",24.01 kg,Aguilar S.A. de C.V.,Good trial significant discuss minute own often audience ball interview.,166.0,2023-11-28,0
P-02711,Infantil Particular 978,Moda > Infantil,"$ 15,309.71",21.92 kg,Guerra-Pichardo A.C.,Cost ball course economic religious result get spring work you about look accept next try total.,56.0,2020-10-06,1
SKU-02712,Infantil Others 840,Moda > Infantil,"$ 6,174.03",27.23 kg,Arredondo-Negrete,,290.0,2021-10-27,1
02713,Limpieza Fear 611,Hogar > Limpieza,"$ 15,479.43",2.85 kg,"Candelaria, Cisneros y Herrera",Participant society human site lay mean region increase shoulder down various speech treatment grow particularly.,447.0,2021-02-25,0
PROD-02714,Ropa Mujer Test 676,Moda > Ropa Mujer,"$ 8,348.47",13.4 kg,"Canales, Díaz y Velásquez",Need science everyone commercial too old from cultural suffer country alone.,121.0,2022-07-03,1
sku_02715,Smartphones Generation 636,Electrónica > Smartphones,"$ 8,500.65",23.12 kg,"Industrias Parra, Nieto y Angulo",Attack family ok decade read body section under between others marriage garden pull with southern investment.,426.0,2023-11-21,0
P-02716,Accesorios Interest 386,Electrónica > Accesorios,"$ 8,225.13",5.38 kg,Rendón-Mares S. R.L. de C.V.,Safe act table safe edge make market TV central down care term.,166.0,2023-11-23,0
02717,Ropa Hombre Message 891,Moda > Ropa Hombre,"$ 24,657.70",11.7 kg,"Despacho Ramón, Carrasco y Farías",Skin letter whether always remember third step common plan nation cause bag as society.,1.0,2022-04-24,1
P-02718,Calzado Never 139,Moda > Calzado,"$ 12,255.14",17.25 kg,Velázquez e Hijos,President now discover war film kitchen radio see theory west build total kid first ok each.,313.0,2021-10-29,1
PROD-02719,Accesorios Tough 175,Electrónica > Accesorios,"$ 24,432.99",1.87 kg,Industrias Miramontes-Sáenz,Through design because paper west draw write today you mean class drive staff rule.,222.0,2019-03-09,0
PROD-02720,Calzado Good 939,Moda > Calzado,"$ 8,118.35",4.8 kg,Grupo Apodaca-Adame,Thousand pull ago dog until believe song during individual natural head begin also and attack check.,,2020-09-24,1
02721,Laptops Bag 518,Electrónica > Laptops,"$ 21,815.44",30.0 kg,"Despacho Bañuelos, Carmona y Mercado",,151.0,2024-01-16,1
SKU-02722,Televisores Seat 944,Electrónica > Televisores,$ 587.53,10.99 kg,Despacho Enríquez-Alva,Agency beautiful animal military win artist play like knowledge society court.,259.0,2019-12-30,1
PROD-02723,Cocina Song 268,Hogar > Cocina,"$ 12,532.90",25.83 kg,Marroquín-Irizarry S. R.L. de C.V.,Example paper long trip action professor while evidence.,159.0,2021-09-27,1
P-02724,Decoración Quickly 496,Hogar > Decoración,"$ 2,020.86",29.06 kg,Grupo Menéndez y Guerrero,Professor eight right fill can analysis guess that source family house.,429.0,2020-05-03,1
sku_02725,Muebles Attorney 881,Hogar > Muebles,"$ 10,848.13",22.74 kg,Industrias Saavedra-Cedillo,,176.0,2024-01-02,1
02726,Laptops Actually 748,Electrónica > Laptops,"$ 21,022.94",15.08 kg,Corporacin Palomo y Rangel,,25.0,2023-02-13,1
sku_02727,Accesorios Professional 199,Electrónica > Accesorios,"$ 19,416.17",13.41 kg,"Miramontes, Chavarría y Mena",Book business from free seat number card result service your range.,241.0,2019-11-02,1
P-02728,Calzado Care 993,Moda > Calzado,"$ 13,488.90",25.05 kg,Proyectos Monroy-Menéndez,Others ground sense yet less prevent major some baby mission.,172.0,2020-02-20,0
P-02729,Muebles South 829,Hogar > Muebles,"$ 4,482.84",28.39 kg,Flores y Martínez S. R.L. de C.V.,Through nice old market network support law interest save truth ten design lose prevent can defense.,350.0,2021-05-12,1
02730,Laptops Not 704,Electrónica > Laptops,"$ 18,091.71",8.67 kg,Piña e Hijos,Mouth off pass poor son among media different.,58.0,2019-04-25,1
sku_02731,Audio Face 462,Electrónica > Audio,"$ 14,856.58",0.75 kg,Despacho Rosario-Cabrera,Bring education game may upon speak be say lead right exactly Mrs.,494.0,2023-02-25,1
PROD-02732,Calzado Way 875,Moda > Calzado,"$ 1,524.51",25.26 kg,de Jesús A.C.,Material window price single road always phone.,446.0,2022-11-10,0
P-02733,Infantil Stuff 561,Moda > Infantil,"$ 999,999.00",1.52 kg,Armendáriz-Medina A.C.,Girl machine five former cover notice short much.,448.0,2024-04-06,1
SKU-02734,Decoración Gas 921,Hogar > Decoración,"$ 21,482.81",27.85 kg,"Industrias Bernal, de la Torre y Juárez",Product result almost too still over short on large purpose.,268.0,2022-11-19,1
sku_02735,Ropa Hombre Four 156,Moda > Ropa Hombre,"$ 24,807.80",3.12 kg,Patiño-de Anda e Hijos,All improve might suggest to across with school white avoid great.,154.0,2020-05-10,1
SKU-02736,Televisores Low 228,Electrónica > Televisores,"$ 1,248.34",1.16 kg,Rosas-Rincón y Asociados,Prevent control rather get radio give from despite floor executive service along serve truth remain.,131.0,2019-05-27,1
sku_02737,Muebles Research 126,Hogar > Muebles,"$ 16,721.89",26.63 kg,"Despacho Adame, Amador y Cano",Lay recognize me moment will onto theory popular today career wind black understand.,208.0,2021-10-15,1
02738,Accesorios Sit 140,Electrónica > Accesorios,"$ 4,882.55",11.76 kg,Laboratorios Carvajal y Barrientos,Lay cause program understand against series financial.,284.0,2022-08-24,1
PROD-02739,Calzado Soon 446,Moda > Calzado,"$ 17,374.28",25.77 kg,Orosco-Guerra S. R.L. de C.V.,Would site far black kitchen protect Mr administration.,452.0,2024-02-29,1
sku_02740,Accesorios Moda Yet 286,Moda > Accesorios Moda,"$ 15,695.03",19.33 kg,Ibarra-Reynoso y Asociados,Believe thought weight world necessary impact bank industry week chance item.,122.0,2020-11-14,0
02741,Audio Speech 954,Electrónica > Audio,"$ 1,867.46",5.16 kg,"Despacho Velasco, Munguía y Sanabria",Feel water marriage receive none increase bank source woman maybe letter.,122.0,2020-12-17,1
PROD-02742,Cocina Address 910,Hogar > Cocina,"$ 21,520.75",24.15 kg,Club Marroquín-Alcántar,Drug for since realize process difference senior less care style.,182.0,2024-03-15,1
02743,Limpieza Receive 142,Hogar > Limpieza,"$ 10,503.75",7.86 kg,Ferrer S.C.,,295.0,2024-05-04,1
P-02744,Infantil Land 680,Moda > Infantil,"$ 24,885.75",0.26 kg,Romo-Mayorga S.A.,,415.0,2021-02-10,1
P-02745,Ropa Hombre Spring 921,Moda > Ropa Hombre,"$ 15,152.67",14.21 kg,"Rubio, Haro y Llamas",Not party lot throughout over specific art degree simply end whether message big less person.,302.0,2023-02-06,1
02746,Laptops Unit 103,Electrónica > Laptops,"$ 15,901.08",24.99 kg,"Saldivar, Olivera y Correa",Value of end success claim level executive month black various court behavior international within.,,2024-03-26,1
SKU-02747,Accesorios Election 714,Electrónica > Accesorios,"$ 2,940.98",21.15 kg,Corporacin Solorzano y Terrazas,Easy sport two ready spring best skin coach happen.,336.0,2023-04-29,1
